ID,AGENT,TYPE,CONFIDENCE,SECURITY
3264016139,Claude_Code,,,0
3264021033,Claude_Code,,,0
3264042289,Claude_Code,,,1
3264042318,Claude_Code,,,1
3264067496,Claude_Code,,,1
3264372403,Claude_Code,,,1
3264398344,Claude_Code,,,1
3264428170,Claude_Code,,,1
3264481903,Claude_Code,,,1
3264505931,Claude_Code,,,0
3264520290,Claude_Code,,,0
3264536084,Claude_Code,,,1
3264552777,Claude_Code,,,0
3264558191,Claude_Code,,,0
3264574249,Claude_Code,,,0
3264589660,Claude_Code,,,1
3264598359,Claude_Code,,,0
3264638330,Claude_Code,,,1
3264677066,Claude_Code,,,1
3264710298,Claude_Code,,,1
3264710846,Claude_Code,,,0
3264773397,Claude_Code,,,1
3264778193,Claude_Code,,,1
3264794416,Claude_Code,,,1
3264796443,Claude_Code,,,1
3264896758,Claude_Code,,,1
3264933329,Claude_Code,fix,10.0,1
3264989757,Claude_Code,,,1
3264990806,Claude_Code,,,0
3264998314,Claude_Code,,,0
3265070964,Claude_Code,,,0
3265098844,Claude_Code,,,1
3265100781,Claude_Code,,,0
3265103856,Claude_Code,,,0
3265114268,Claude_Code,,,0
3265117559,Claude_Code,,,0
3265118634,Claude_Code,refactor,9.0,0
3265118904,Claude_Code,,,1
3265122204,Claude_Code,,,1
3265126297,Claude_Code,,,0
3265126361,Claude_Code,,,0
3265156455,Claude_Code,,,0
3265160532,Claude_Code,,,0
3265164076,Claude_Code,,,0
3265192982,Claude_Code,,,0
3265247212,Claude_Code,,,0
3265262072,Claude_Code,,,1
3265265518,Claude_Code,,,0
3265276067,Claude_Code,,,0
3265303857,Claude_Code,,,0
3265312790,Claude_Code,,,1
3265313110,Claude_Code,,,0
3265330068,Claude_Code,,,1
3265333044,Claude_Code,,,1
3265347768,Claude_Code,,,0
3265371221,Claude_Code,,,0
3265385163,Claude_Code,,,0
3265394587,Claude_Code,,,0
3265400619,Claude_Code,,,0
3265409425,Claude_Code,,,1
3265422194,Claude_Code,,,1
3265425857,Claude_Code,,,0
3265431881,Claude_Code,,,1
3265440577,Claude_Code,,,1
3265487372,Claude_Code,,,0
3265488238,Claude_Code,,,0
3265488912,Claude_Code,,,0
3265489161,Claude_Code,,,0
3265503034,Claude_Code,,,0
3265526708,Claude_Code,,,0
3265528562,Claude_Code,,,1
3265536046,Claude_Code,,,1
3265575270,Claude_Code,,,1
3265583466,Claude_Code,,,0
3265601027,Claude_Code,,,0
3265624852,Claude_Code,,,1
3265626871,Claude_Code,,,0
3265640341,Claude_Code,feat,10.0,1
3265651549,Claude_Code,,,0
3265658307,Claude_Code,,,0
3265688045,Claude_Code,,,0
3265693023,Claude_Code,,,1
3265701172,Claude_Code,,,0
3265709660,Claude_Code,feat,10.0,1
3265729118,Claude_Code,,,1
3265729225,Claude_Code,,,0
3265748220,Claude_Code,,,1
3265756404,Claude_Code,,,0
3265775585,Claude_Code,,,0
3265782173,Claude_Code,chore,10.0,0
3265784623,Claude_Code,,,0
3265789776,Claude_Code,,,1
3265794513,Claude_Code,,,1
3265794654,Claude_Code,,,0
